rank,method,model_name,layer,iter,token_num
8,FLEX,mixtral-8x7b-e16k4,0,8,73874
8,FLEX,mixtral-8x7b-e16k4,0,9,72670
8,FLEX,mixtral-8x7b-e16k4,0,10,74453
8,FLEX,mixtral-8x7b-e16k4,0,11,72907
8,FLEX,mixtral-8x7b-e16k4,0,12,77795
8,FLEX,mixtral-8x7b-e16k4,0,13,73070
8,FLEX,mixtral-8x7b-e16k4,0,14,75468
8,FLEX,mixtral-8x7b-e16k4,0,15,73658
8,FLEX,mixtral-8x7b-e16k4,0,16,74182
8,FLEX,mixtral-8x7b-e16k4,0,17,74937
8,FLEX,mixtral-8x7b-e16k4,0,18,72981
8,FLEX,mixtral-8x7b-e16k4,0,19,72020
8,FLEX,mixtral-8x7b-e16k4,0,20,70725
8,FLEX,mixtral-8x7b-e16k4,0,21,73709
8,FLEX,mixtral-8x7b-e16k4,0,22,69971
8,FLEX,mixtral-8x7b-e16k4,0,23,72233
8,FLEX,mixtral-8x7b-e16k4,0,24,71132
8,FLEX,mixtral-8x7b-e16k4,0,25,70044
8,FLEX,mixtral-8x7b-e16k4,0,26,72268
8,FLEX,mixtral-8x7b-e16k4,0,27,70553
8,FLEX,mixtral-8x7b-e16k4,0,28,70001
8,FLEX,mixtral-8x7b-e16k4,0,29,70328
9,FLEX,mixtral-8x7b-e16k4,0,0,63623
9,FLEX,mixtral-8x7b-e16k4,0,1,70587
9,FLEX,mixtral-8x7b-e16k4,0,2,69936
9,FLEX,mixtral-8x7b-e16k4,0,3,70336
9,FLEX,mixtral-8x7b-e16k4,0,4,71274
9,FLEX,mixtral-8x7b-e16k4,0,5,69188
9,FLEX,mixtral-8x7b-e16k4,0,6,69071
9,FLEX,mixtral-8x7b-e16k4,0,7,70379
9,FLEX,mixtral-8x7b-e16k4,0,8,70247
9,FLEX,mixtral-8x7b-e16k4,0,9,67997
9,FLEX,mixtral-8x7b-e16k4,0,10,67646
9,FLEX,mixtral-8x7b-e16k4,0,11,70980
9,FLEX,mixtral-8x7b-e16k4,0,12,67525
9,FLEX,mixtral-8x7b-e16k4,0,13,68286
9,FLEX,mixtral-8x7b-e16k4,0,14,67924
9,FLEX,mixtral-8x7b-e16k4,0,15,66994
9,FLEX,mixtral-8x7b-e16k4,0,16,67416
9,FLEX,mixtral-8x7b-e16k4,0,17,68015
9,FLEX,mixtral-8x7b-e16k4,0,18,67646
9,FLEX,mixtral-8x7b-e16k4,0,19,66828
9,FLEX,mixtral-8x7b-e16k4,0,20,68729
9,FLEX,mixtral-8x7b-e16k4,0,21,67201
9,FLEX,mixtral-8x7b-e16k4,0,22,66249
9,FLEX,mixtral-8x7b-e16k4,0,23,66316
9,FLEX,mixtral-8x7b-e16k4,0,24,67548
9,FLEX,mixtral-8x7b-e16k4,0,25,67923
9,FLEX,mixtral-8x7b-e16k4,0,26,66746
9,FLEX,mixtral-8x7b-e16k4,0,27,68037
9,FLEX,mixtral-8x7b-e16k4,0,28,66667
9,FLEX,mixtral-8x7b-e16k4,0,29,66478
10,FLEX,mixtral-8x7b-e16k4,0,0,72291
10,FLEX,mixtral-8x7b-e16k4,0,1,70925
10,FLEX,mixtral-8x7b-e16k4,0,2,71344
10,FLEX,mixtral-8x7b-e16k4,0,3,72409
10,FLEX,mixtral-8x7b-e16k4,0,4,70508
10,FLEX,mixtral-8x7b-e16k4,0,5,73998
10,FLEX,mixtral-8x7b-e16k4,0,6,73266
10,FLEX,mixtral-8x7b-e16k4,0,7,74533
10,FLEX,mixtral-8x7b-e16k4,0,8,71313
